275464.00,6.43,-0.56,0.17,6.19,0.08,-0.09,6.43,-0.56,0.17
275465.00,6.15,-0.38,2.00,6.24,-0.21,-0.06,6.27,-0.04,0.08
275466.00,6.88,-0.19,-0.07,6.26,-0.59,-0.00,6.23,-0.45,0.09
275467.00,6.67,-0.34,0.74,6.20,0.21,0.05,6.24,-0.00,0.40
275468.00,6.34,0.20,0.76,6.23,0.72,-0.02,6.27,0.52,0.10
275469.00,6.25,0.66,0.86,6.34,0.52,0.60,6.28,0.71,0.25
275470.00,6.58,0.34,0.67,6.45,-0.00,0.25,6.35,0.25,0.06
275471.00,6.69,-0.11,0.21,6.44,-0.24,0.19,6.45,-0.24,0.04
275472.00,6.54,-0.15,0.09,6.48,-0.07,0.19,6.50,-0.17,0.05
275473.00,6.51,-0.36,-1.02,6.41,0.10,0.13,6.49,0.04,-0.02
275474.00,6.07,-0.28,0.27,6.04,-0.29,0.10,6.21,-0.10,0.05
275475.00,5.91,-0.32,0.14,5.76,-0.39,0.04,5.89,-0.38,-0.01
275476.00,5.59,-0.27,0.03,5.30,0.02,0.08,5.52,-0.24,0.02
275477.00,5.30,0.07,-0.26,5.38,0.14,0.01,5.36,0.12,-0.18
275478.00,5.75,0.49,-6.30,5.07,-0.37,0.03,5.24,-0.14,-0.05
275479.00,5.14,-0.02,-0.37,4.87,-0.02,0.01,5.00,-0.20,-0.00
275480.00,4.34,0.11,0.72,4.10,0.21,-0.03,4.45,0.18,0.01
275481.00,3.59,-0.06,-0.05,3.33,-0.12,-0.14,3.62,0.07,0.01
275482.00,3.02,-0.23,-0.04,2.71,-0.37,-0.03,2.96,-0.33,0.07
275483.00,2.39,-0.59,0.08,2.28,-0.57,-0.32,2.58,-0.54,0.06
275484.00,2.56,-1.19,-0.05,2.53,-1.56,-0.14,2.50,-1.16,0.07
275485.00,2.48,-2.18,0.08,2.27,-2.65,-0.07,2.45,-2.20,0.06
275486.00,1.91,-3.18,0.03,1.56,-3.59,-0.06,1.95,-3.25,0.03
275487.00,1.55,-3.96,0.04,1.19,-4.02,-0.06,1.34,-3.89,0.02
275488.00,0.56,-4.19,-0.05,0.05,-4.17,-0.00,0.66,-4.11,-0.00
275489.00,-0.80,-3.73,-0.02,-1.34,-3.50,-0.03,-0.75,-3.81,-0.02
275490.00,-2.02,-2.86,-0.09,-2.59,-2.07,-0.01,-2.12,-2.90,-0.15
275491.00,-3.08,-1.41,-0.12,-3.31,-0.65,-0.02,-3.05,-1.27,0.02
275492.00,-3.93,0.05,0.24,-4.48,0.23,0.37,-3.93,-0.10,0.04
275493.00,-4.96,0.15,-0.00,-4.97,0.23,0.26,-4.77,0.23,0.07
275494.00,-5.11,-0.15,-0.03,-5.37,-0.28,0.18,-5.12,-0.13,0.08
275495.00,-5.26,-0.14,-0.06,-5.33,-0.09,0.14,-5.37,-0.26,0.16
275496.00,-5.47,0.10,0.18,-5.52,0.35,0.05,-5.57,0.19,0.14
275497.00,-5.80,0.57,0.22,-5.64,0.23,0.05,-5.70,0.54,0.20
275498.00,-5.82,0.07,0.15,-5.88,0.17,-0.10,-5.80,0.18,0.19
275499.00,-6.17,0.01,-0.10,-6.14,-0.07,0.00,-6.04,-0.06,0.07
275500.00,-6.19,-0.06,0.06,-6.23,-0.11,0.01,-6.22,-0.10,0.03
275501.00,-6.07,-0.07,0.04,-6.28,0.01,-0.03,-6.28,-0.05,0.02
275502.00,-6.41,-0.00,0.00,-6.28,0.01,-0.03,-6.32,0.05,0.02
275503.00,-6.48,0.08,-0.04,-6.34,-0.04,-0.04,-6.36,0.04,0.04
275504.00,-6.15,-0.01,-0.04,-6.23,0.18,-0.06,-6.29,0.02,0.01
275505.00,-6.33,0.41,-0.13,-6.44,0.20,-0.06,-6.39,0.30,-0.23
275506.00,-6.79,-0.08,-0.24,-6.50,-0.25,-0.13,-6.54,0.01,-0.16
275507.00,-6.00,-1.00,-0.23,-5.77,-1.64,-0.33,-6.10,-0.94,-0.16
275508.00,-5.31,-2.07,-0.19,-5.03,-2.32,-0.20,-5.36,-2.08,-0.04
275509.00,-5.35,-1.85,0.00,-5.48,-1.64,-0.18,-5.34,-1.98,-0.05
275510.00,-5.68,-0.94,-0.02,-5.98,-0.64,0.02,-5.82,-0.97,0.08
275511.00,-6.11,-0.36,0.04,-5.99,-0.03,0.18,-6.02,-0.25,-0.08
275512.00,-6.13,0.27,-0.05,-6.01,0.44,0.14,-6.06,0.28,-0.01
275513.00,-5.74,0.19,-0.12,-5.77,0.13,0.19,-5.81,0.20,-0.01
275514.00,-5.66,0.15,-0.06,-5.49,0.05,0.05,-5.65,0.09,0.02
275515.00,-5.41,0.09,0.02,-5.13,0.01,0.13,-5.30,0.07,0.05
